text,label
EXPOSED: the deep state discovered a way to reverse aging using tap water. Forward to everyone you know before it's too late!,FAKE
Anonymous insider claims Big Pharma is covering up contact with extraterrestrials. The truth is finally coming out and it's terrifying.,FAKE
EXPOSED: mainstream media faked the entire election overnight. Share this before it gets DELETED!!!,FAKE
Federal regulators announced a new policy regarding public health measures. Officials said further details would be shared in the coming weeks.,REAL
You won't believe what a billionaire cabal is using 5G towers to control your thoughts. This changes EVERYTHING and nobody is talking about it.,FAKE
The transportation department approved funding for infrastructure spending. Analysts noted the change aligns with previous projections.,REAL
Doctors HATE this: aliens is covering up contact with extraterrestrials. Sources say this will shock the entire world.,FAKE
The central bank approved funding for school curriculum changes. Independent experts were consulted before the decision was finalized.,REAL
BREAKING (exclusive): the deep state plans to shut down the internet forever. Forward to everyone you know before it's too late!,FAKE
Anonymous insider claims mainstream media has proof the moon landing was staged in a basement. Mainstream media refuses to report this - wake up!,FAKE
Leaked documents reveal the deep state has proof the moon landing was staged in a basement. Forward to everyone you know before it's too late!,FAKE
Company executives published quarterly data on tax policy reforms. Independent experts were consulted before the decision was finalized.,REAL
Local health officials held a press conference about climate adaptation plans. Independent experts were consulted before the decision was finalized.,REAL
The city council scheduled a public hearing on renewable energy projects. The report is based on data collected over the past fiscal year.,REAL
The World Health Organization announced a new policy regarding renewable energy projects. The report is based on data collected over the past fiscal year.,REAL
Doctors HATE this: a hidden agency has proof the moon landing was staged in a basement. Mainstream media refuses to report this - wake up!,FAKE
Leaked documents reveal a rogue scientist plans to shut down the internet forever. Forward to everyone you know before it's too late!,FAKE
Election officials announced a new policy regarding climate adaptation plans. Independent experts were consulted before the decision was finalized.,REAL
EXPOSED: a hidden agency has been secretly controlling the weather. This changes EVERYTHING and nobody is talking about it.,FAKE
The national weather service released a report on infrastructure spending. Analysts noted the change aligns with previous projections.,REAL
The transportation department released a report on housing affordability. The report is based on data collected over the past fiscal year.,REAL
BREAKING (exclusive): a billionaire cabal is planning to microchip every citizen next year. The truth is finally coming out and it's terrifying.,FAKE
Secret report exposes the deep state has proof the moon landing was staged in a basement. Sources say this will shock the entire world.,FAKE
Viral post reveals a rogue scientist faked the entire election overnight. This changes EVERYTHING and nobody is talking about it.,FAKE
The city council issued a statement clarifying tax policy reforms. A follow-up briefing is expected next month.,REAL
Researchers at the university issued a statement clarifying vaccine distribution. The report is based on data collected over the past fiscal year.,REAL
Election officials scheduled a public hearing on climate adaptation plans. Independent experts were consulted before the decision was finalized.,REAL
Viral post reveals a secret society is hiding a miracle cure that costs nothing. Sources say this will shock the entire world.,FAKE
BREAKING (exclusive): a secret society is using 5G towers to control your thoughts. Mainstream media refuses to report this - wake up!,FAKE
Secret report exposes a secret society is hiding a miracle cure that costs nothing. This changes EVERYTHING and nobody is talking about it.,FAKE
Election officials scheduled a public hearing on housing affordability. The report is based on data collected over the past fiscal year.,REAL
You won't believe what a billionaire cabal plans to shut down the internet forever. Mainstream media refuses to report this - wake up!,FAKE
BREAKING (exclusive): the deep state is covering up contact with extraterrestrials. Mainstream media refuses to report this - wake up!,FAKE
The national weather service issued a statement clarifying public health measures. Analysts noted the change aligns with previous projections.,REAL
Secret report exposes mainstream media is covering up contact with extraterrestrials. Mainstream media refuses to report this - wake up!,FAKE
The city council scheduled a public hearing on road safety regulations. The department said it welcomes public feedback on the matter.,REAL
The national weather service released a report on school curriculum changes. A follow-up briefing is expected next month.,REAL
Anonymous insider claims aliens is covering up contact with extraterrestrials. Sources say this will shock the entire world.,FAKE
They don't want you to know: a hidden agency is hiding a miracle cure that costs nothing. Sources say this will shock the entire world.,FAKE
You won't believe what a rogue scientist has proof the moon landing was staged in a basement. Sources say this will shock the entire world.,FAKE
Doctors HATE this: a billionaire cabal has proof the moon landing was staged in a basement. Forward to everyone you know before it's too late!,FAKE
They don't want you to know: aliens is bribing scientists to hide the truth about vaccines. Share this before it gets DELETED!!!,FAKE
BREAKING (exclusive): the deep state is hiding a miracle cure that costs nothing. Forward to everyone you know before it's too late!,FAKE
Viral post reveals mainstream media is covering up contact with extraterrestrials. Forward to everyone you know before it's too late!,FAKE
Viral post reveals a secret society discovered a way to reverse aging using tap water. Mainstream media refuses to report this - wake up!,FAKE
Viral post reveals the government plans to shut down the internet forever. Forward to everyone you know before it's too late!,FAKE
Company executives published quarterly data on infrastructure spending. The report is based on data collected over the past fiscal year.,REAL
Secret report exposes the deep state faked the entire election overnight. Mainstream media refuses to report this - wake up!,FAKE
The city council scheduled a public hearing on vaccine distribution. Officials said further details would be shared in the coming weeks.,REAL
The transportation department confirmed updated guidelines for vaccine distribution. The report is based on data collected over the past fiscal year.,REAL
State education authorities began an investigation into flood recovery efforts. A follow-up briefing is expected next month.,REAL
Federal regulators began an investigation into housing affordability. The department said it welcomes public feedback on the matter.,REAL
State education authorities confirmed updated guidelines for vaccine distribution. The report is based on data collected over the past fiscal year.,REAL
They don't want you to know: a mysterious whistleblower plans to shut down the internet forever. Forward to everyone you know before it's too late!,FAKE
You won't believe what aliens has been secretly controlling the weather. Forward to everyone you know before it's too late!,FAKE
SHOCKING: a hidden agency faked the entire election overnight. The truth is finally coming out and it's terrifying.,FAKE
The national weather service published quarterly data on housing affordability. The department said it welcomes public feedback on the matter.,REAL
Anonymous insider claims the deep state is planning to microchip every citizen next year. Mainstream media refuses to report this - wake up!,FAKE
Researchers at the university scheduled a public hearing on employment statistics. A follow-up briefing is expected next month.,REAL
The national weather service approved funding for public health measures. The department said it welcomes public feedback on the matter.,REAL
Federal regulators issued a statement clarifying public health measures. Officials said further details would be shared in the coming weeks.,REAL
Election officials provided an update on tax policy reforms. The department said it welcomes public feedback on the matter.,REAL
The central bank approved funding for public health measures. A follow-up briefing is expected next month.,REAL
